station,valid,tmpc,relh,vsby,sknt,skyc1,wxcodes
LFPG,2026-09-01 00:00,18.00,72.58,6.21,6.00,M,M
LFPG,2026-09-01 00:30,17.00,77.31,6.21,4.00,M,M
LFPG,2026-09-01 01:00,17.00,77.31,6.21,4.00,M,M
LFPG,2026-09-01 01:30,17.00,77.31,6.21,4.00,M,M
LFPG,2026-09-01 02:00,16.00,82.38,6.21,2.00,M,M
LFPG,2026-09-01 02:30,16.00,82.38,6.21,3.00,M,M
LFPG,2026-09-01 03:00,16.00,82.38,6.21,3.00,M,M
LFPG,2026-09-01 03:30,16.00,82.38,6.21,3.00,M,M
LFPG,2026-09-01 04:00,16.00,82.38,6.21,4.00,M,M
LFPG,2026-09-01 04:30,16.00,82.38,6.21,5.00,M,M
LFPG,2026-09-01 05:00,16.00,82.38,6.21,4.00,M,M
LFPG,2026-09-01 05:30,15.00,87.84,6.21,3.00,M,M
LFPG,2026-09-01 06:00,15.00,87.84,6.21,4.00,M,M
LFPG,2026-09-01 06:30,15.00,87.84,6.21,5.00,M,M
LFPG,2026-09-01 07:00,15.00,87.84,6.21,5.00,M,M
LFPG,2026-09-01 07:30,14.00,93.70,6.21,6.00,M,M
LFPG,2026-09-01 08:00,14.00,93.70,6.21,5.00,M,M
LFPG,2026-09-01 08:30,15.00,87.84,6.21,4.00,M,M
LFPG,2026-09-01 09:00,15.00,87.84,6.21,4.00,M,M
LFPG,2026-09-01 09:30,16.00,82.38,6.21,5.00,M,M
LFPG,2026-09-01 10:00,17.00,77.31,6.21,4.00,M,M
LFPG,2026-09-01 10:30,18.00,72.58,6.21,6.00,FEW,M
LFPG,2026-09-01 10:34,19.00,68.18,6.21,6.00,FEW,M
LFPG,2026-09-01 11:00,19.00,63.85,6.21,7.00,SCT,M
LFPG,2026-09-01 11:30,19.00,63.85,6.21,6.00,SCT,M
LFPG,2026-09-01 12:00,20.00,56.16,6.21,6.00,SCT,M
LFPG,2026-09-01 12:30,20.00,56.16,6.21,7.00,SCT,M
LFPG,2026-09-01 13:00,21.00,52.81,6.21,6.00,SCT,M
LFPG,2026-09-01 13:30,22.00,46.47,6.21,9.00,SCT,M
LFPG,2026-09-01 14:00,23.00,43.73,6.21,6.00,SCT,M
LFPG,2026-09-01 14:30,23.00,43.73,6.21,8.00,FEW,M
LFPG,2026-09-01 15:00,23.00,43.73,6.21,6.00,M,M
LFPG,2026-09-01 15:30,23.00,40.89,6.21,6.00,M,M
LFPG,2026-09-01 16:00,24.00,35.98,6.21,6.00,M,M
LFPG,2026-09-01 16:30,24.00,38.50,6.21,5.00,M,M
LFPG,2026-09-01 17:00,24.00,38.50,6.21,5.00,M,M
LFPG,2026-09-01 17:30,24.00,38.50,6.21,3.00,M,M
LFPG,2026-09-01 18:00,24.00,38.50,6.21,4.00,M,M
LFPG,2026-09-01 18:30,23.00,40.89,6.21,4.00,M,M
LFPG,2026-09-01 19:00,23.00,40.89,6.21,6.00,M,M
LFPG,2026-09-01 19:30,23.00,43.73,6.21,6.00,M,M
LFPG,2026-09-01 20:00,22.00,46.47,6.21,6.00,M,M
LFPG,2026-09-01 20:30,21.00,49.40,6.21,5.00,M,M
LFPG,2026-09-01 21:00,20.00,52.54,6.21,5.00,M,M
LFPG,2026-09-01 21:30,20.00,52.54,6.21,4.00,M,M
LFPG,2026-09-01 22:00,19.00,55.91,6.21,5.00,M,M
LFPG,2026-09-01 22:30,18.00,63.62,6.21,4.00,M,M
LFPG,2026-09-01 23:00,17.00,67.76,6.21,7.00,M,M
LFPG,2026-09-01 23:30,17.00,67.76,6.21,6.00,M,M
LFPG,2026-09-02 00:00,17.00,67.76,6.21,5.00,M,M
LFPG,2026-09-02 00:30,16.00,77.15,6.21,6.00,M,M
LFPG,2026-09-02 01:00,16.00,72.21,6.21,5.00,M,M
LFPG,2026-09-02 01:30,16.00,72.21,6.21,4.00,M,M
LFPG,2026-09-02 02:00,16.00,72.21,6.21,3.00,M,M
LFPG,2026-09-02 02:30,16.00,72.21,6.21,5.00,M,M
LFPG,2026-09-02 03:00,15.00,76.99,6.21,1.00,M,M
LFPG,2026-09-02 03:30,15.00,76.99,6.21,2.00,M,M
LFPG,2026-09-02 04:00,15.00,82.26,6.21,3.00,M,M
LFPG,2026-09-02 04:30,15.00,76.99,6.21,1.00,M,M
LFPG,2026-09-02 05:00,15.00,76.99,6.21,2.00,M,M
LFPG,2026-09-02 05:30,14.00,82.13,6.21,2.00,M,M
LFPG,2026-09-02 06:00,14.00,82.13,6.21,2.00,M,M
LFPG,2026-09-02 06:30,14.00,82.13,6.21,1.00,M,M
LFPG,2026-09-02 07:00,14.00,87.75,6.21,2.00,M,M
LFPG,2026-09-02 07:30,14.00,82.13,6.21,2.00,M,M
LFPG,2026-09-02 08:00,15.00,82.26,6.21,0.00,M,M
LFPG,2026-09-02 08:30,16.00,77.15,6.21,2.00,M,M
LFPG,2026-09-02 09:00,17.00,72.40,6.21,2.00,M,M
LFPG,2026-09-02 09:30,18.00,67.97,6.21,2.00,M,M
LFPG,2026-09-02 10:00,19.00,59.76,6.21,3.00,M,M
LFPG,2026-09-02 10:30,19.00,59.76,6.21,2.00,M,M
LFPG,2026-09-02 11:00,20.00,60.00,6.21,4.00,M,M
LFPG,2026-09-02 11:30,21.00,49.40,6.21,3.00,FEW,M
LFPG,2026-09-02 12:00,22.00,46.47,6.21,6.00,FEW,M
LFPG,2026-09-02 12:30,22.00,46.47,6.21,5.00,FEW,M
LFPG,2026-09-02 13:00,22.00,43.45,6.21,7.00,FEW,M
LFPG,2026-09-02 13:30,23.00,40.89,6.21,7.00,FEW,M
LFPG,2026-09-02 14:00,23.00,40.89,6.21,6.00,FEW,M
LFPG,2026-09-02 14:30,23.00,40.89,6.21,7.00,M,M
LFPG,2026-09-02 15:00,23.00,40.89,6.21,8.00,M,M
LFPG,2026-09-02 15:30,24.00,38.50,6.21,6.00,M,M
LFPG,2026-09-02 16:00,24.00,38.50,6.21,8.00,M,M
LFPG,2026-09-02 16:30,24.00,41.18,6.21,4.00,M,M
LFPG,2026-09-02 17:00,25.00,38.79,6.21,8.00,M,M
LFPG,2026-09-02 17:30,24.00,41.18,6.21,4.00,M,M
LFPG,2026-09-02 18:00,24.00,41.18,6.21,4.00,M,M
LFPG,2026-09-02 18:30,24.00,38.50,6.21,4.00,M,M
LFPG,2026-09-02 19:00,24.00,41.18,6.21,3.00,M,M
LFPG,2026-09-02 19:30,23.00,43.73,6.21,3.00,M,M
LFPG,2026-09-02 20:00,23.00,43.73,6.21,2.00,M,M
LFPG,2026-09-02 20:30,23.00,43.73,6.21,2.00,M,M
LFPG,2026-09-02 21:00,22.00,46.47,6.21,5.00,M,M
LFPG,2026-09-02 21:30,22.00,46.47,6.21,6.00,M,M
LFPG,2026-09-02 22:00,22.00,46.47,6.21,5.00,M,M
LFPG,2026-09-02 22:30,21.00,52.81,6.21,6.00,M,M
LFPG,2026-09-02 23:00,21.00,49.40,6.21,6.00,M,M
LFPG,2026-09-02 23:30,21.00,49.40,6.21,6.00,M,M
